23 January 2012 08:50:30 AM

CORDIC_PRB:
  C++ version,
  Test the CORDIC library.

TEST001:
  COSSIN_CORDIC computes the cosine and sine
  using the CORDIC algorithm.

          A        N      Cos(A)           Cos(A)           Difference
                          Tabulated        CORDIC


         0.1    10           1.4706289         1.4718679     -0.001239
         0.1    15           1.4706289         1.4705251     0.0001038
         0.1    20           1.4706289         1.4706281      8.24e-07
         0.1    25           1.4706289         1.4706289    -1.046e-08

         0.2     0           1.3694384                 0         1.369
         0.2     5           1.3694384         1.2573308        0.1121
         0.2    10           1.3694384         1.3705888      -0.00115
         0.2    15           1.3694384         1.3694902    -5.179e-05
         0.2    20           1.3694384         1.3694406    -2.196e-06
         0.2    25           1.3694384         1.3694383     6.871e-08

         0.3     0           1.2661037                 0         1.266
         0.3     5           1.2661037         1.2573308      0.008773
         0.3    10           1.2661037         1.2690321     -0.002928
         0.3    15           1.2661037         1.2662245    -0.0001208
         0.3    20           1.2661037         1.2661062    -2.572e-06
         0.3    25           1.2661037         1.2661037    -6.813e-08

         0.4     0           1.1592795                 0         1.159
         0.4     5           1.1592795         1.2573308      -0.09805
         0.4    10           1.1592795         1.1596977    -0.0004182
         0.4    15           1.1592795         1.1593315    -5.201e-05
         0.4    20           1.1592795         1.1592819    -2.421e-06
         0.4    25           1.1592795         1.1592794     8.237e-08

         0.5     0           1.0471976                 0         1.047
         0.5     5           1.0471976         1.0095861       0.03761
         0.5    10           1.0471976         1.0447243      0.002473
         0.5    15           1.0471976         1.0472877    -9.018e-05
         0.5    20           1.0471976            1.0472    -2.439e-06
         0.5    25           1.0471976         1.0471975     6.437e-08

         0.6     0          0.92729522                 0        0.9273
         0.6     5          0.92729522         1.0095861      -0.08229
         0.6    10          0.92729522        0.92757741    -0.0002822
         0.6    15          0.92729522         0.9272112     8.402e-05
         0.6    20          0.92729522        0.92729894    -3.718e-06
         0.6    25          0.92729522        0.92729524    -2.288e-08

         0.7     0          0.79539883                 0        0.7954
         0.7     5          0.79539883        0.75991083       0.03549
         0.7    10          0.79539883        0.79504901     0.0003498
         0.7    15          0.79539883        0.79541522    -1.639e-05
         0.7    20          0.79539883        0.79539615     2.681e-06
         0.7    25          0.79539883        0.79539889    -6.095e-08

         0.8     0          0.64350111                 0        0.6435
         0.8     5          0.64350111        0.75991083       -0.1164
         0.8    10          0.64350111         0.6466528     -0.003152
         0.8    15          0.64350111        0.64360105    -9.994e-05
         0.8    20          0.64350111        0.64349805     3.058e-06
         0.8    25          0.64350111        0.64350103     7.798e-08

         0.9     0          0.45102681                 0         0.451
         0.9     5          0.45102681        0.52709139      -0.07606
         0.9    10          0.45102681        0.45289516     -0.001868
         0.9    15          0.45102681        0.45106411     -3.73e-05
         0.9    20          0.45102681        0.45102978    -2.967e-06
         0.9    25          0.45102681         0.4510268     1.356e-08

           1     0                   0                 0             0
           1     5                   0       0.029671413      -0.02967
           1    10                   0      0.0023451806     -0.002345
           1    15                   0     2.5845392e-05    -2.585e-05
           1    20                   0    -8.5748894e-07     8.575e-07
           1    25                   0    -2.3023911e-08     2.302e-08

TEST005:
  ARCSIN_CORDIC computes the arcsine of T
  using the CORDIC algorithm.

      T    N        ArcSin(T)  ArcSin(T)      Difference
                   Tabulated   CORDIC


        -0.1     0         -0.10016742                 0       -0.1002
        -0.1     5         -0.10016742      -0.029671413       -0.0705
        -0.1    10         -0.10016742       -0.10386764        0.0037
        -0.1    15         -0.10016742       -0.10008346    -8.396e-05
        -0.1    20         -0.10016742        -0.1001712     3.778e-06
        -0.1    25         -0.10016742        -0.1001675      8.26e-08

           0     0                   0                 0             0
           0     5                   0       0.029671413      -0.02967
           0    10                   0      0.0023451806     -0.002345
           0    15                   0     2.5845392e-05    -2.585e-05
           0    20                   0    -8.5748894e-07     8.575e-07
           0    25                   0    -2.3023911e-08     2.302e-08

         0.1     0          0.10016742                 0        0.1002
         0.1     5          0.10016742       0.029671413        0.0705
         0.1    10          0.10016742        0.10386764       -0.0037
         0.1    15          0.10016742        0.10008346     8.396e-05
         0.1    20          0.10016742         0.1001712    -3.778e-06
         0.1    25          0.10016742         0.1001675     -8.26e-08

         0.2     0          0.20135792                 0        0.2014
         0.2     5          0.20135792        0.27741615      -0.07606
         0.2    10          0.20135792        0.20321992     -0.001862
         0.2    15          0.20135792        0.20138887    -3.095e-05
         0.2    20          0.20135792        0.20135454     3.382e-06
         0.2    25          0.20135792          0.201358    -7.476e-08

         0.3     0          0.30469265                 0        0.3047
         0.3     5          0.30469265        0.27741615       0.02728
         0.3    10          0.30469265        0.30474238    -4.973e-05
         0.3    15          0.30469265        0.30462031     7.234e-05
         0.3    20          0.30469265        0.30469279    -1.399e-07
         0.3    25          0.30469265        0.30469267    -2.068e-08

