28 April 2014 09:09:01 PM

SIMPLE_GA:
  C++ version
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

       335         26.8359          23.791         3.44779
       336         26.8359         23.3379         4.36662
       337         26.8359         20.9883         5.89448
       338         26.8359         21.7512         5.85434
       339         26.8359          23.223         4.70046
       340         26.8359          23.266         4.50573
       341         26.8359         23.5404         4.58913
       342         26.8359          23.305         4.97999
       343         26.8359         22.9233         4.12961
       344         26.8359         23.4917         3.79768
       345         26.8359         21.5584         5.35209
       346         26.8359         21.5546         5.50074
       347         26.8359         21.1318         6.27846
       348         26.8359         20.1202         5.85817
       349         26.8359         21.6969         3.94189
       350         26.8359         21.6698         4.38214
       351         26.8359         19.9653         4.84921
       352         26.8359         21.9006         4.23796
       353         26.8359         22.0398         4.05861
       354         26.8359         20.8508          4.9817
       355         26.8359         20.1395         6.65432
       356         26.8359         20.2509          6.1234
       357         26.8359         21.4738         5.08941
       358         26.8359         21.1058         5.58454
       359         26.8359         22.1614         5.34802
       360         26.8359         21.3678         6.71264
       361         26.8359         22.7891         4.94555
       362         26.8359         22.9165          4.0788
       363         26.8359         23.3034          3.6918
       364         26.8359         23.1494         3.93228
       365         26.8359         21.6144         6.17913
       366         26.8359         22.5119         4.88299
       367         26.8359         22.2232         4.31935
       368         26.8359         21.9879         4.16394
       369         26.8359         23.1207         2.83194
       370         26.8359         22.2681         3.15898
       371         26.8359         20.6965          6.0132
       372         26.8359         23.0061         4.15847
       373         26.8359         23.1685         4.86034
       374         26.8359          22.814         5.05068
       375         26.8359         22.7863         4.28513
       376         26.8359         22.6703          5.0554
       377         26.8359          22.761         4.81886
       378         26.8359         21.6908         6.48734
       379         26.8359          22.313         4.97643
       380         26.8359         22.8399         3.48339
       381         26.8359         23.0361         4.35357
       382         26.8359         23.7174         2.91623
       383         26.8359         24.1252         3.74202
       384         26.8359         21.6133         6.15213
       385         26.8359         22.5491         5.09868
       386         26.8359         21.3877         4.54873
       387         26.8359         21.1894         4.63112
       388         26.8359         20.6354         5.63898
       389         26.8359         22.3464         4.35866
       390         26.8359          22.792         3.76501
       391         26.8359         21.8126         3.82392
       392         26.8359         21.0365         3.42281
       393         26.8359         21.5083         3.64601
       394         26.8359         21.4198         3.94569
       395         26.8359         19.9916         5.02737
       396         26.8359         19.2413          5.4954
       397         26.8359          19.789         6.16834
       398         26.8359         19.8315         5.45034
       399         26.8359         21.9993         4.32948
       400         26.8359         22.1962          4.7258
       401         26.8359         22.2686         3.93676
       402         26.8359         21.3421         5.98583
       403         26.8359         21.7537         5.43575
       404         26.8359         20.2703         6.62014
       405         26.8359         22.1324         5.47843
       406         26.8359         24.2827         2.62788
       407         26.8359         23.2387         4.72686
       408         26.8359         22.8653          4.7407
       409         26.8359         20.7897         6.78647
       410         26.8359         20.9257         5.52288
       411         26.8359         21.0131         5.81734
       412         26.8359         21.6419         5.81148
       413         26.8359         21.8681         5.14194
       414         26.8359         21.8435         6.51612
       415         26.8359         21.8915         4.21696
       416         26.8359         22.1487         4.82988
       417         26.8359         22.4643         4.52901
       418         26.8359         23.0158         3.79699
       419         26.8359         22.1779         4.48546
       420         26.8359         22.9841         3.82032
       421         26.8359          23.306         3.35362
       422         26.8359         22.3959         5.58031
       423         26.8359         22.7358          4.6477
       424         26.8359         21.3569         5.54632
       425         26.8359         21.9804          4.8101
       426         26.8359         20.7835         6.11755
       427         26.8359         21.8207         5.82414
       428         26.8359         22.3377         4.97221
       429         26.8359         23.0671         4.77917
       430         26.8359         22.2354         4.65929
       431         26.8359         19.5059         6.82202
       432         26.8359          19.589         6.44799
       433         26.8359         21.5448         4.04125
       434         26.8359         21.7377         3.32107
       435         26.8359         21.7496         2.63346
       436         26.8359         19.1164         6.90706
       437         26.8359         20.2699         5.06711
       438         26.8359          19.653         5.52013
       439         26.8359         18.5181          6.7322
       440         26.8359         20.9014         4.82619
       441         26.8359         20.9784         4.64004
       442         26.8359         22.5926         4.05208
       443         26.8359         22.5185         4.07592
       444         26.8359         23.3223          2.8442
       445         26.8359         22.8031         4.15679
       446         26.8359         21.9504         5.31594
       447         26.8359         21.5197         5.73724
       448         26.8359          22.005         5.16688
       449         26.8359         21.5989         5.74529
       450         26.8359         22.1839         5.02741
       451         26.8359         22.0815         3.83933
       452         26.8359         22.3066         6.02142
       453         26.8359         23.5439         3.83245
       454         26.8359         23.2008         3.80946
       455         26.8359         23.2096         3.14253
       456         26.8359         22.2325         3.46609
       457         26.8359         20.9553         5.00999
       458         26.8359         21.3652         5.00142
       459         26.8359         20.3326         5.78141
       460         26.8359         20.1983         5.37162
       461         26.8359         20.4921         4.82711
       462         26.8359         21.9929         4.31709
       463         26.8359         21.9102         5.20514
       464         26.8359         21.3389          6.0592
       465         26.8359         19.9063         6.35917
       466         26.8359         21.8378         5.61592
       467         26.8359         22.6698         5.74913
